,Unnamed: 0,Date,Post
121,121,2012-01-06,77
3215,3215,2012-01-06,71
2487,2487,2012-01-06,74
2123,2123,2012-01-06,78
4671,4671,2012-01-06,58
7401,7401,2012-01-06,57
3579,3579,2012-01-06,73
7947,7947,2012-01-06,61
1759,1759,2012-01-06,80
4853,4853,2012-01-06,73
7037,7037,2012-01-06,80
5945,5945,2012-01-06,83
6855,6855,2012-01-06,78
7219,7219,2012-01-06,64
3943,3943,2012-01-06,70
849,849,2012-01-06,79
3397,3397,2012-01-06,68
6673,6673,2012-01-06,80
303,303,2012-01-06,78
1395,1395,2012-01-06,78
1213,1213,2012-01-06,55
5399,5399,2012-01-06,79
5035,5035,2012-01-06,78
6491,6491,2012-01-06,80
7765,7765,2012-01-06,80
2851,2851,2012-01-06,58
6127,6127,2012-01-06,70
4489,4489,2012-01-06,69
1031,1031,2012-01-06,80
1941,1941,2012-01-06,81
2669,2669,2012-01-06,67
3033,3033,2012-01-06,54
4125,4125,2012-01-06,66
5581,5581,2012-01-06,79
1577,1577,2012-01-06,80
4307,4307,2012-01-06,71
8129,8129,2012-01-06,74
5763,5763,2012-01-06,62
3761,3761,2012-01-06,79
5217,5217,2012-01-06,70
6309,6309,2012-01-06,73
485,485,2012-01-06,81
2305,2305,2012-01-06,61
7583,7583,2012-01-06,80
667,667,2012-01-06,77
4469,4469,2012-01-13,34
3377,3377,2012-01-13,37
2103,2103,2012-01-13,48
6835,6835,2012-01-13,48
4833,4833,2012-01-13,41
3195,3195,2012-01-13,35
5197,5197,2012-01-13,39
1011,1011,2012-01-13,48
2285,2285,2012-01-13,25
1193,1193,2012-01-13,7
283,283,2012-01-13,45
4105,4105,2012-01-13,28
1375,1375,2012-01-13,36
5561,5561,2012-01-13,45
4651,4651,2012-01-13,25
1921,1921,2012-01-13,53
7563,7563,2012-01-13,51
7745,7745,2012-01-13,43
7017,7017,2012-01-13,54
1739,1739,2012-01-13,51
6289,6289,2012-01-13,41
3741,3741,2012-01-13,45
5925,5925,2012-01-13,54
7199,7199,2012-01-13,25
2649,2649,2012-01-13,36
3013,3013,2012-01-13,20
465,465,2012-01-13,51
7927,7927,2012-01-13,25
3559,3559,2012-01-13,37
6107,6107,2012-01-13,33
2467,2467,2012-01-13,41
1557,1557,2012-01-13,42
4287,4287,2012-01-13,36
647,647,2012-01-13,34
7381,7381,2012-01-13,27
6653,6653,2012-01-13,56
8109,8109,2012-01-13,41
6471,6471,2012-01-13,56
2831,2831,2012-01-13,19
5743,5743,2012-01-13,28
5015,5015,2012-01-13,48
3923,3923,2012-01-13,39
829,829,2012-01-13,48
101,101,2012-01-13,48
5379,5379,2012-01-13,45
1740,1740,2012-01-20,54
6836,6836,2012-01-20,46
7746,7746,2012-01-20,52
6654,6654,2012-01-20,58
7564,7564,2012-01-20,54
6290,6290,2012-01-20,30
648,648,2012-01-20,42
4652,4652,2012-01-20,15
7382,7382,2012-01-20,31
7928,7928,2012-01-20,32
5016,5016,2012-01-20,46
5926,5926,2012-01-20,55
1558,1558,2012-01-20,51
830,830,2012-01-20,54
7018,7018,2012-01-20,58
3742,3742,2012-01-20,52
3014,3014,2012-01-20,27
1922,1922,2012-01-20,56
2650,2650,2012-01-20,21
3378,3378,2012-01-20,23
7200,7200,2012-01-20,14
466,466,2012-01-20,56
5380,5380,2012-01-20,52
3560,3560,2012-01-20,27
3924,3924,2012-01-20,29
4106,4106,2012-01-20,15
5198,5198,2012-01-20,29
102,102,2012-01-20,54
1194,1194,2012-01-20,27
2832,2832,2012-01-20,29
3196,3196,2012-01-20,24
1012,1012,2012-01-20,55
284,284,2012-01-20,51
8110,8110,2012-01-20,31
2286,2286,2012-01-20,32
4470,4470,2012-01-20,23
6472,6472,2012-01-20,58
6108,6108,2012-01-20,39
1376,1376,2012-01-20,46
2104,2104,2012-01-20,46
5562,5562,2012-01-20,52
4834,4834,2012-01-20,30
5744,5744,2012-01-20,36
4288,4288,2012-01-20,25
2468,2468,2012-01-20,31
5199,5199,2012-01-27,35
4835,4835,2012-01-27,36
6291,6291,2012-01-27,36
4653,4653,2012-01-27,24
7019,7019,2012-01-27,60
1195,1195,2012-01-27,26
4289,4289,2012-01-27,31
2287,2287,2012-01-27,34
6109,6109,2012-01-27,39
1741,1741,2012-01-27,53
3379,3379,2012-01-27,32
6837,6837,2012-01-27,50
7201,7201,2012-01-27,22
831,831,2012-01-27,54
103,103,2012-01-27,54
2651,2651,2012-01-27,30
4107,4107,2012-01-27,25
3925,3925,2012-01-27,35
2833,2833,2012-01-27,28
3197,3197,2012-01-27,30
285,285,2012-01-27,50
2469,2469,2012-01-27,37
4471,4471,2012-01-27,32
5563,5563,2012-01-27,50
1377,1377,2012-01-27,45
5381,5381,2012-01-27,50
8111,8111,2012-01-27,37
1923,1923,2012-01-27,58
3561,3561,2012-01-27,37
467,467,2012-01-27,58
2105,2105,2012-01-27,50
7747,7747,2012-01-27,52
6655,6655,2012-01-27,62
7929,7929,2012-01-27,34
5017,5017,2012-01-27,50
3015,3015,2012-01-27,29
3743,3743,2012-01-27,50
1559,1559,2012-01-27,49
6473,6473,2012-01-27,62
5745,5745,2012-01-27,36
5927,5927,2012-01-27,56
7383,7383,2012-01-27,33
1013,1013,2012-01-27,53
7565,7565,2012-01-27,53
649,649,2012-01-27,40
3384,3384,2012-02-03,34
1018,1018,2012-02-03,60
2474,2474,2012-02-03,41
7206,7206,2012-02-03,23
2292,2292,2012-02-03,32
1200,1200,2012-02-03,21
4476,4476,2012-02-03,36
7570,7570,2012-02-03,57
3020,3020,2012-02-03,26
4840,4840,2012-02-03,40
7024,7024,2012-02-03,64
1746,1746,2012-02-03,57
5204,5204,2012-02-03,37
6296,6296,2012-02-03,40
472,472,2012-02-03,61
7752,7752,2012-02-03,56
5568,5568,2012-02-03,59
1928,1928,2012-02-03,62
6114,6114,2012-02-03,42
4294,4294,2012-02-03,35
108,108,2012-02-03,60
5386,5386,2012-02-03,59
290,290,2012-02-03,58
3930,3930,2012-02-03,37
2110,2110,2012-02-03,52
5932,5932,2012-02-03,60
7934,7934,2012-02-03,32
2656,2656,2012-02-03,33
2838,2838,2012-02-03,23
6478,6478,2012-02-03,64
3748,3748,2012-02-03,59
3566,3566,2012-02-03,39
654,654,2012-02-03,50
5750,5750,2012-02-03,33
1564,1564,2012-02-03,57
8116,8116,2012-02-03,41
6842,6842,2012-02-03,52
4112,4112,2012-02-03,25
5022,5022,2012-02-03,52
4658,4658,2012-02-03,22
1382,1382,2012-02-03,50
7388,7388,2012-02-03,27
6660,6660,2012-02-03,64
836,836,2012-02-03,60
3202,3202,2012-02-03,33
3055,3055,2012-02-11,42
6877,6877,2012-02-11,63
2145,2145,2012-02-11,63
5967,5967,2012-02-11,70
1235,1235,2012-02-11,37
4875,4875,2012-02-11,54
2691,2691,2012-02-11,47
5421,5421,2012-02-11,56
3237,3237,2012-02-11,53
6149,6149,2012-02-11,50
2327,2327,2012-02-11,52
6695,6695,2012-02-11,62
5785,5785,2012-02-11,46
6513,6513,2012-02-11,62
1963,1963,2012-02-11,62
2873,2873,2012-02-11,38
5239,5239,2012-02-11,54
6331,6331,2012-02-11,54
1781,1781,2012-02-11,70
5603,5603,2012-02-11,56
5057,5057,2012-02-11,63
1599,1599,2012-02-11,56
1417,1417,2012-02-11,53
3419,3419,2012-02-11,46
2509,2509,2012-02-11,52
7241,7241,2012-02-11,52
7969,7969,2012-02-11,52
143,143,2012-02-11,55
1053,1053,2012-02-11,58
3965,3965,2012-02-11,54
7059,7059,2012-02-11,59
4147,4147,2012-02-11,51
7423,7423,2012-02-11,44
689,689,2012-02-11,53
871,871,2012-02-11,57
4329,4329,2012-02-11,52
3783,3783,2012-02-11,56
4693,4693,2012-02-11,48
3601,3601,2012-02-11,42
507,507,2012-02-11,61
7787,7787,2012-02-11,60
4511,4511,2012-02-11,40
8151,8151,2012-02-11,52
7605,7605,2012-02-11,70
325,325,2012-02-11,56
2290,2290,2012-02-17,36
6840,6840,2012-02-17,51
652,652,2012-02-17,34
6658,6658,2012-02-17,54
4474,4474,2012-02-17,32
7932,7932,2012-02-17,36
5020,5020,2012-02-17,51
6112,6112,2012-02-17,37
2836,2836,2012-02-17,31
5930,5930,2012-02-17,57
6476,6476,2012-02-17,54
5384,5384,2012-02-17,45
288,288,2012-02-17,43
1562,1562,2012-02-17,43
1016,1016,2012-02-17,49
3928,3928,2012-02-17,36
4838,4838,2012-02-17,37
7204,7204,2012-02-17,25
2108,2108,2012-02-17,51
1744,1744,2012-02-17,54
1926,1926,2012-02-17,52
4656,4656,2012-02-17,23
4292,4292,2012-02-17,33
7022,7022,2012-02-17,52
5202,5202,2012-02-17,36
834,834,2012-02-17,48
3018,3018,2012-02-17,30
4110,4110,2012-02-17,27
5748,5748,2012-02-17,24
3382,3382,2012-02-17,30
5566,5566,2012-02-17,45
6294,6294,2012-02-17,37
2472,2472,2012-02-17,36
1380,1380,2012-02-17,37
3746,3746,2012-02-17,45
106,106,2012-02-17,45
3200,3200,2012-02-17,32
470,470,2012-02-17,52
3564,3564,2012-02-17,31
2654,2654,2012-02-17,30
7568,7568,2012-02-17,54
7750,7750,2012-02-17,49
1198,1198,2012-02-17,27
7386,7386,2012-02-17,22
8114,8114,2012-02-17,36
5203,5203,2012-02-24,39
6113,6113,2012-02-24,39
6841,6841,2012-02-24,53
1745,1745,2012-02-24,56
1927,1927,2012-02-24,61
4657,4657,2012-02-24,28
4839,4839,2012-02-24,41
6295,6295,2012-02-24,41
6477,6477,2012-02-24,62
7569,7569,2012-02-24,56
471,471,2012-02-24,60
4475,4475,2012-02-24,35
7751,7751,2012-02-24,53
1199,1199,2012-02-24,24
3019,3019,2012-02-24,30
2837,2837,2012-02-24,26
3383,3383,2012-02-24,33
4293,4293,2012-02-24,37
7387,7387,2012-02-24,27
2655,2655,2012-02-24,33
107,107,2012-02-24,57
3565,3565,2012-02-24,39
1381,1381,2012-02-24,46
6659,6659,2012-02-24,62
5567,5567,2012-02-24,54
4111,4111,2012-02-24,31
7023,7023,2012-02-24,61
835,835,2012-02-24,57
8115,8115,2012-02-24,42
2473,2473,2012-02-24,42
3201,3201,2012-02-24,36
5749,5749,2012-02-24,33
2291,2291,2012-02-24,35
3747,3747,2012-02-24,54
653,653,2012-02-24,41
5385,5385,2012-02-24,54
5021,5021,2012-02-24,53
289,289,2012-02-24,54
5931,5931,2012-02-24,59
1017,1017,2012-02-24,59
1563,1563,2012-02-24,53
2109,2109,2012-02-24,53
7205,7205,2012-02-24,29
7933,7933,2012-02-24,35
3929,3929,2012-02-24,39
4472,4472,2012-03-02,34
3198,3198,2012-03-02,37
3016,3016,2012-03-02,26
4654,4654,2012-03-02,25
832,832,2012-03-02,57
7384,7384,2012-03-02,31
3744,3744,2012-03-02,55
1378,1378,2012-03-02,45
650,650,2012-03-02,41
7566,7566,2012-03-02,56
6656,6656,2012-03-02,61
6474,6474,2012-03-02,61
3562,3562,2012-03-02,39
5018,5018,2012-03-02,50
1560,1560,2012-03-02,54
6838,6838,2012-03-02,50
5200,5200,2012-03-02,40
104,104,2012-03-02,56
2288,2288,2012-03-02,31
3380,3380,2012-03-02,36
1014,1014,2012-03-02,57
2106,2106,2012-03-02,50
1742,1742,2012-03-02,56
7202,7202,2012-03-02,27
3926,3926,2012-03-02,40
286,286,2012-03-02,55
2652,2652,2012-03-02,35
5382,5382,2012-03-02,55
4290,4290,2012-03-02,38
1196,1196,2012-03-02,22
6110,6110,2012-03-02,38
4836,4836,2012-03-02,42
5928,5928,2012-03-02,59
7930,7930,2012-03-02,31
2834,2834,2012-03-02,25
5746,5746,2012-03-02,35
4108,4108,2012-03-02,29
7020,7020,2012-03-02,60
8112,8112,2012-03-02,42
1924,1924,2012-03-02,60
7748,7748,2012-03-02,51
5564,5564,2012-03-02,55
468,468,2012-03-02,59
6292,6292,2012-03-02,42
2470,2470,2012-03-02,42
5772,5772,2012-03-08,75
2496,2496,2012-03-08,76
8138,8138,2012-03-08,76
7956,7956,2012-03-08,81
2678,2678,2012-03-08,73
130,130,2012-03-08,86
3588,3588,2012-03-08,74
2314,2314,2012-03-08,81
5590,5590,2012-03-08,91
4134,4134,2012-03-08,71
6682,6682,2012-03-08,85
3770,3770,2012-03-08,91
676,676,2012-03-08,83
5044,5044,2012-03-08,88
7592,7592,2012-03-08,84
1768,1768,2012-03-08,84
5226,5226,2012-03-08,72
6318,6318,2012-03-08,75
494,494,2012-03-08,86
1950,1950,2012-03-08,86
3042,3042,2012-03-08,72
6136,6136,2012-03-08,78
2860,2860,2012-03-08,68
3952,3952,2012-03-08,72
1404,1404,2012-03-08,85
4498,4498,2012-03-08,72
4316,4316,2012-03-08,73
6500,6500,2012-03-08,85
312,312,2012-03-08,90
1586,1586,2012-03-08,90
5408,5408,2012-03-08,91
2132,2132,2012-03-08,88
5954,5954,2012-03-08,92
7410,7410,2012-03-08,73
7774,7774,2012-03-08,85
3224,3224,2012-03-08,72
4862,4862,2012-03-08,75
1222,1222,2012-03-08,61
1040,1040,2012-03-08,87
7228,7228,2012-03-08,70
4680,4680,2012-03-08,65
858,858,2012-03-08,86
3406,3406,2012-03-08,73
6864,6864,2012-03-08,88
7046,7046,2012-03-08,84
3022,3022,2012-03-16,43
7572,7572,2012-03-16,62
1384,1384,2012-03-16,56
4478,4478,2012-03-16,50
8118,8118,2012-03-16,50
3932,3932,2012-03-16,46
6662,6662,2012-03-16,67
3568,3568,2012-03-16,53
2658,2658,2012-03-16,47
7026,7026,2012-03-16,65
7390,7390,2012-03-16,47
838,838,2012-03-16,63
7208,7208,2012-03-16,37
5388,5388,2012-03-16,63
6480,6480,2012-03-16,67
5024,5024,2012-03-16,64
5570,5570,2012-03-16,63
1202,1202,2012-03-16,37
1566,1566,2012-03-16,59
2840,2840,2012-03-16,38
6116,6116,2012-03-16,48
656,656,2012-03-16,59
